game_id,date,player,rank,substitute_player,winner,score,color,num_of_cities,num_of_settlement,num_of_roads,num_of_dev_cards,buy_dev_card_first,builds_city_first,builds_settlement_first,num_of_harbor,which_resources_first,cashier,time_in_min,is_extension,start_time,longest_road,largest_army,first_brick_harbor,first_ore_harbor,first_grain_harbor,first_wool_harbor,first_lumber_harbor,first_3to1_harbor,num_of_brick_harbor,num_of_grain_harbor,num_of_3to1_harbor,num_of_lumber_harbor,num_of_ore_harbor,num_of_wool_harbor,initial_dices,dessert_placement
1.0,2022-02-22,B,1.0,,A,7.0,Blue,2.0,2.0,5.0,4.0,1.0,0.0,0.0,2.0,"['Wool', 'Wool', 'Grain']",0.0,105.0,0.0,,,,,,,,,,,,,,,,,
1.0,2022-02-22,A,2.0,,A,10.0,White,5.0,0.0,7.0,2.0,0.0,1.0,0.0,2.0,"['Lumber', 'Lumber', 'Grain']",1.0,105.0,0.0,,,,,,,,,,,,,,,,,
1.0,2022-02-22,V,4.0,Cc,A,8.0,Red,2.0,3.0,10.0,2.0,0.0,0.0,1.0,3.0,"['Lumber', 'Lumber', 'Brick']",0.0,105.0,0.0,,,,,,,,,,,,,,,,,
1.0,2022-02-22,M,3.0,E,A,7.0,Orange,2.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,"['Ore', 'Lumber', 'Wool']",0.0,105.0,0.0,,,,,,,,,,,,,,,,,
2.0,2022-03-06,A,2.0,,Cc,5.0,White,2.0,1.0,4.0,1.0,0.0,0.0,1.0,0.0,"['Wool', 'Brick', 'Lumber']",1.0,45.0,0.0,,,,,,,,,,,,,,,,,
2.0,2022-03-06,F,1.0,,Cc,6.0,Orange,1.0,2.0,7.0,0.0,0.0,0.0,0.0,1.0,"['Ore', 'Grain', 'Wool']",0.0,45.0,0.0,,,,,,,,,,,,,,,,,
2.0,2022-03-06,Cc,3.0,,Cc,10.0,Red,3.0,0.0,4.0,8.0,1.0,1.0,0.0,1.0,"['Grain', 'Wool', 'Wool']",0.0,45.0,0.0,,,,,,,,,,,,,,,,,
3.0,2022-03-08,B,4.0,F,M,6.0,Red,0.0,4.0,10.0,3.0,1.0,0.0,1.0,1.0,"['Ore', 'Grain', 'Lumber']",0.0,120.0,0.0,22:15:00,,,,,,,,,,,,,,,,
3.0,2022-03-08,A,3.0,,M,7.0,White,2.0,1.0,6.0,2.0,0.0,1.0,0.0,1.0,"['Grain', 'Grain', 'Lumber']",1.0,120.0,0.0,22:15:00,,,,,,,,,,,,,,,,
3.0,2022-03-08,Cc,1.0,,M,8.0,Blue,1.0,1.0,4.0,8.0,0.0,0.0,0.0,2.0,"['Wool', 'Wool']",0.0,120.0,0.0,22:15:00,,,,,,,,,,,,,,,,
3.0,2022-03-08,M,2.0,,M,11.0,Orange,5.0,1.0,8.0,1.0,0.0,0.0,0.0,1.0,"['Ore', 'Wool', 'Wool']",0.0,120.0,0.0,22:15:00,,,,,,,,,,,,,,,,
4.0,2022-03-09,Cc,1.0,,B,4.0,Blue,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,"['Brick', 'Ore', 'Grain']",0.0,70.0,0.0,22:10:00,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
4.0,2022-03-09,M,3.0,,B,6.0,Orange,2.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,"['Wool', 'Grain', 'Lumber']",0.0,70.0,0.0,22:10:00,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
4.0,2022-03-09,B,2.0,,B,10.0,Red,3.0,1.0,9.0,2.0,1.0,1.0,0.0,2.0,"['Lumber', 'Brick']",0.0,70.0,0.0,22:10:00,,,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
4.0,2022-03-09,A,4.0,F,B,4.0,White,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,"['Ore', 'Ore', 'Grain']",1.0,70.0,0.0,22:10:00,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
5.0,2022-03-10,A,1.0,,F,6.0,White,1.0,2.0,7.0,3.0,0.0,1.0,0.0,0.0,"['Ore', 'Ore', 'Lumber']",0.0,75.0,0.0,20:35:00,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
5.0,2022-03-10,F,2.0,,F,10.0,Orange,3.0,2.0,6.0,4.0,0.0,0.0,1.0,2.0,"['Brick', 'Wool', 'Ore']",0.0,75.0,0.0,20:35:00,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
5.0,2022-03-10,B,3.0,,F,5.0,Blue,1.0,2.0,5.0,2.0,1.0,0.0,0.0,1.0,"['Grain', 'Lumber', 'Lumber']",1.0,75.0,0.0,20:35:00,,,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,
6.0,2022-03-11,A,1.0,,A,10.0,White,4.0,2.0,7.0,3.0,1.0,1.0,1.0,1.0,"['Grain', 'Wool', 'Wool']",1.0,45.0,0.0,20:00:00,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
6.0,2022-03-11,F,2.0,,A,6.0,Orange,1.0,3.0,8.0,2.0,0.0,0.0,0.0,1.0,"['Lumber', 'Brick', 'Wool']",0.0,45.0,0.0,20:00:00,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
6.0,2022-03-11,B,3.0,,A,6.0,Blue,1.0,2.0,8.0,5.0,0.0,0.0,0.0,1.0,"['Lumber', 'Brick', 'Wool']",0.0,45.0,0.0,20:00:00,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
7.0,2022-03-12,B,1.0,,F,9.0,Blue,1.0,5.0,13.0,2.0,0.0,0.0,0.0,4.0,"['Ore', 'Ore', 'Brick']",0.0,70.0,0.0,22:00:00,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
7.0,2022-03-12,A,2.0,,F,8.0,White,2.0,3.0,10.0,4.0,0.0,1.0,1.0,0.0,"['Wool', 'Wool', 'Grain']",1.0,70.0,0.0,22:00:00,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
7.0,2022-03-12,F,3.0,,F,10.0,Orange,3.0,1.0,7.0,6.0,1.0,0.0,0.0,1.0,"['Ore', 'Grain', 'Lumber']",0.0,70.0,0.0,22:00:00,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
8.0,2022-03-16,A,1.0,,E,9.0,White,3.0,3.0,8.0,3.0,1.0,1.0,1.0,2.0,"['Lumber', 'Ore', 'Wool']",1.0,50.0,0.0,22:00:00,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,
8.0,2022-03-16,B,3.0,,E,7.0,Blue,2.0,2.0,9.0,2.0,0.0,0.0,0.0,0.0,"['Ore', 'Lumber', 'Brick']",0.0,50.0,0.0,22:00:00,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
8.0,2022-03-16,E,2.0,,E,10.0,Red,3.0,2.0,10.0,1.0,0.0,0.0,0.0,3.0,"['Wool', 'Ore', 'Lumber']",0.0,50.0,0.0,22:00:00,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,,
9.0,2022-03-17,B,1.0,,E,7.0,Blue,3.0,0.0,4.0,3.0,0.0,0.0,0.0,1.0,"['Lumber', 'Brick']",0.0,75.0,0.0,19:10:00,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,
9.0,2022-03-17,A,2.0,,E,7.0,White,1.0,3.0,7.0,3.0,0.0,0.0,1.0,1.0,"['Lumber', 'Brick', 'Wool']",1.0,75.0,0.0,19:10:00,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,
9.0,2022-03-17,F,3.0,,E,7.0,Orange,3.0,1.0,5.0,3.0,0.0,0.0,0.0,1.0,"['Grain', 'Lumber', 'Brick']",0.0,75.0,0.0,19:10:00,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,
9.0,2022-03-17,E,4.0,,E,10.0,Red,3.0,1.0,9.0,6.0,1.0,1.0,0.0,0.0,"['Grain', 'Brick', 'Lumber']",0.0,75.0,0.0,19:10:00,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
10.0,2022-03-17,B,1.0,,A,3.0,Blue,0.0,3.0,7.0,1.0,0.0,0.0,0.0,1.0,"['Ore', 'Ore', 'Lumber']",0.0,60.0,0.0,21:30:00,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,
10.0,2022-03-17,A,2.0,,A,10.0,White,4.0,0.0,10.0,2.0,1.0,0.0,1.0,0.0,"['Lumber', 'Brick', 'Lumber']",1.0,60.0,0.0,21:30:00,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
10.0,2022-03-17,E,3.0,,A,8.0,Red,1.0,4.0,8.0,6.0,0.0,0.0,0.0,3.0,"['Brick', 'Wool', 'Ore']",0.0,60.0,0.0,21:30:00,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,,
11.0,2022-03-18,A,4.0,,A,10.0,White,4.0,2.0,5.0,7.0,0.0,1.0,0.0,1.0,"['Grain', 'Grain', 'Wool']",1.0,90.0,0.0,22:10:00,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,
11.0,2022-03-18,F,3.0,,A,6.0,Orange,2.0,2.0,7.0,3.0,0.0,0.0,1.0,1.0,"['Grain', 'Brick', 'Wool']",0.0,90.0,0.0,22:10:00,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,
11.0,2022-03-18,E,1.0,,A,8.0,Red,1.0,3.0,9.0,6.0,1.0,0.0,0.0,1.0,"['Lumber', 'Ore', 'Brick']",0.0,90.0,0.0,22:10:00,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,
11.0,2022-03-18,B,2.0,,A,6.0,Blue,0.0,5.0,12.0,5.0,0.0,0.0,0.0,1.0,"['Lumber', 'Brick', 'Wool']",0.0,90.0,0.0,22:10:00,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,
12.0,2022-03-20,E,2.0,,B,8.0,Orange,2.0,3.0,8.0,3.0,0.0,0.0,1.0,2.0,"['Ore', 'Lumber', 'Wool']",1.0,60.0,0.0,22:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,
12.0,2022-03-20,B,3.0,,B,10.0,Blue,1.0,4.0,10.0,7.0,1.0,0.0,0.0,0.0,"['Wool', 'Brick', 'Grain']",0.0,60.0,0.0,22:50:00,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
12.0,2022-03-20,A,1.0,,B,9.0,White,2.0,3.0,11.0,4.0,0.0,1.0,0.0,4.0,"['Lumber', 'Lumber', 'Wool']",0.0,60.0,0.0,22:50:00,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,,
13.0,2022-03-21,B,1.0,,A,8.0,Blue,1.0,4.0,10.0,2.0,0.0,0.0,1.0,2.0,"['Brick', 'Wool']",0.0,50.0,0.0,23:40:00,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,
13.0,2022-03-21,A,2.0,,A,10.0,White,4.0,0.0,5.0,4.0,0.0,0.0,0.0,1.0,"['Lumber', 'Wool', 'Brick']",0.0,50.0,0.0,23:40:00,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,
13.0,2022-03-21,E,3.0,,A,6.0,Red,3.0,0.0,7.0,2.0,1.0,1.0,0.0,0.0,"['Brick', 'Wool', 'Ore']",1.0,50.0,0.0,23:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
14.0,2022-03-23,A,4.0,,A,10.0,White,3.0,2.0,12.0,1.0,0.0,0.0,1.0,0.0,"['Grain', 'Wool', 'Lumber']",0.0,50.0,0.0,22:40:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
14.0,2022-03-23,E,2.0,,A,7.0,Orange,1.0,3.0,4.0,4.0,0.0,0.0,0.0,1.0,"['Brick', 'Grain', 'Wool']",0.0,50.0,0.0,22:40:00,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,
14.0,2022-03-23,B,1.0,,A,4.0,Blue,1.0,2.0,7.0,1.0,0.0,1.0,0.0,2.0,"['Ore', 'Brick']",0.0,50.0,0.0,22:40:00,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,
14.0,2022-03-23,Cc,3.0,,A,7.0,Red,1.0,4.0,9.0,1.0,1.0,0.0,0.0,1.0,"['Wool', 'Lumber', 'Ore']",1.0,50.0,0.0,22:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,
15.0,2022-03-25,A,4.0,,A,10.0,White,2.0,1.0,3.0,7.0,1.0,0.0,0.0,0.0,"['Grain', 'Wool', 'Ore']",1.0,90.0,1.0,22:30:00,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
15.0,2022-03-25,E,2.0,,A,9.0,Green,4.0,0.0,4.0,5.0,0.0,0.0,1.0,2.0,"['Grain', 'Lumber']",0.0,90.0,1.0,22:30:00,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,
15.0,2022-03-25,F,6.0,,A,6.0,Brown,3.0,0.0,6.0,2.0,0.0,1.0,0.0,0.0,"['Grain', 'Grain', 'Brick']",0.0,90.0,1.0,22:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
15.0,2022-03-25,M,5.0,,A,9.0,Orange,4.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,"['Grain', 'Ore', 'Wool']",0.0,90.0,1.0,22:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
15.0,2022-03-25,Cc,1.0,,A,6.0,Blue,3.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,"['Wool', 'Wool', 'Grain']",0.0,90.0,1.0,22:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,
15.0,2022-03-25,B,3.0,,A,7.0,Red,0.0,5.0,8.0,1.0,0.0,0.0,0.0,1.0,"['Grain', 'Grain', 'Lumber']",0.0,90.0,1.0,22:30:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,
16.0,2022-03-26,A,2.0,,A,10.0,White,4.0,0.0,4.0,4.0,0.0,1.0,0.0,2.0,"['Grain', 'Wool', 'Brick']",1.0,70.0,1.0,02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,
16.0,2022-03-26,B,1.0,,A,5.0,Green,2.0,1.0,5.0,1.0,0.0,0.0,0.0,1.0,"['Ore', 'Brick']",0.0,70.0,1.0,02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,
16.0,2022-03-26,E,5.0,,A,5.0,Brown,1.0,3.0,5.0,1.0,0.0,0.0,0.0,1.0,"['Brick', 'Wool', 'Grain']",0.0,70.0,1.0,02:00:00,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,
16.0,2022-03-26,M,3.0,,A,7.0,Orange,1.0,3.0,7.0,0.0,0.0,0.0,1.0,1.0,"['Wool', 'Wool', 'Brick']",0.0,70.0,1.0,02:00:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,
16.0,2022-03-26,Cc,4.0,,A,6.0,Red,2.0,0.0,6.0,6.0,1.0,0.0,0.0,0.0,"['Grain', 'Grain', 'Wool']",0.0,70.0,1.0,02:00:00,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
17.0,2022-03-26,B,1.0,,E,4.0,Blue,0.0,4.0,9.0,0.0,0.0,0.0,0.0,1.0,"['Wool', 'Lumber']",0.0,85.0,1.0,19:20:00,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,
17.0,2022-03-26,A,2.0,,E,7.0,White,1.0,4.0,7.0,2.0,0.0,0.0,0.0,1.0,"['Lumber', 'Ore', 'Grain']",0.0,85.0,1.0,19:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,
17.0,2022-03-26,M,3.0,,E,6.0,Orange,3.0,0.0,8.0,1.0,0.0,0.0,0.0,1.0,"['Lumber', 'Grain', 'Wool']",0.0,85.0,1.0,19:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,
17.0,2022-03-26,Cc,4.0,,E,7.0,Brown,3.0,1.0,4.0,0.0,0.0,1.0,0.0,2.0,"['Ore', 'Brick', 'Grain']",1.0,85.0,1.0,19:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,
17.0,2022-03-26,E,5.0,,E,10.0,Green,3.0,2.0,8.0,4.0,1.0,0.0,1.0,2.0,"['Ore', 'Wool', 'Lumber']",0.0,85.0,1.0,19:20:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,
18.0,2022-03-26,Cc,1.0,,B,7.0,Brown,3.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,"['Grain', 'Grain', 'Grain']",1.0,55.0,1.0,22:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,
18.0,2022-03-26,E,2.0,,B,8.0,Green,4.0,0.0,4.0,1.0,0.0,0.0,1.0,1.0,"['Grain', 'Grain']",0.0,55.0,1.0,22:40:00,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,
18.0,2022-03-26,B,3.0,,B,10.0,Blue,3.0,1.0,7.0,4.0,1.0,1.0,0.0,1.0,"['Ore', 'Lumber', 'Grain']",0.0,55.0,1.0,22:40:00,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,
18.0,2022-03-26,A,4.0,,B,8.0,White,1.0,4.0,9.0,0.0,0.0,0.0,0.0,1.0,"['Lumber', 'Grain', 'Wool']",0.0,55.0,1.0,22:40:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,
18.0,2022-03-26,M,5.0,,B,6.0,Orange,3.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,"['Lumber', 'Brick', 'Grain']",0.0,55.0,1.0,22:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,
19.0,2022-03-27,Cc,1.0,,A,5.0,Red,2.0,1.0,4.0,0.0,0.0,1.0,0.0,2.0,"['Ore', 'Ore', 'Brick']",1.0,55.0,1.0,02:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,
19.0,2022-03-27,E,2.0,,A,6.0,Green,2.0,2.0,4.0,1.0,0.0,0.0,0.0,1.0,"['Grain', 'Grain', 'Lumber']",0.0,55.0,1.0,02:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,
19.0,2022-03-27,B,3.0,,A,7.0,Blue,3.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,"['Ore', 'Grain', 'Brick']",0.0,55.0,1.0,02:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
19.0,2022-03-27,A,4.0,,A,10.0,White,2.0,4.0,9.0,2.0,1.0,0.0,1.0,1.0,"['Lumber', 'Lumber', 'Brick']",0.0,55.0,1.0,02:20:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,
19.0,2022-03-27,M,5.0,,A,6.0,Orange,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,"['Grain', 'Ore', 'Brick']",0.0,55.0,1.0,02:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
20.0,2022-03-27,A,1.0,,Cc,6.0,White,2.0,2.0,4.0,3.0,0.0,0.0,1.0,1.0,"['Grain', 'Brick']",0.0,70.0,1.0,16:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,
20.0,2022-03-27,M,2.0,,Cc,6.0,Orange,1.0,4.0,7.0,0.0,0.0,0.0,0.0,2.0,"['Lumber', 'Lumber', 'Grain']",0.0,70.0,1.0,16:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,
20.0,2022-03-27,Cc,3.0,,Cc,10.0,Green,2.0,3.0,8.0,3.0,0.0,0.0,0.0,1.0,"['Wool', 'Wool', 'Brick']",1.0,70.0,1.0,16:50:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,
20.0,2022-03-27,E,4.0,,Cc,6.0,Brown,2.0,2.0,2.0,2.0,1.0,1.0,0.0,2.0,"['Lumber', 'Wool', 'Grain']",0.0,70.0,1.0,16:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,
20.0,2022-03-27,B,5.0,,Cc,6.0,Blue,3.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,"['Grain', 'Lumber', 'Wool']",0.0,70.0,1.0,16:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
21.0,2022-03-28,B,1.0,,A,8.0,Blue,4.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,"['Grain', 'Grain', 'Lumber']",0.0,60.0,0.0,21:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
